_date,total_clones,unique_clones
2022-03-16,9,8
2022-03-21,2,2
2022-03-28,2,2
2022-04-04,3,3
2022-04-11,2,2
2022-04-17,1,1
2022-04-18,2,2
2022-04-25,3,2
2022-05-02,1,1
2022-05-08,2,1
2022-05-09,3,3
2022-05-16,4,4
2022-05-23,2,2
2022-05-30,2,2
2022-06-06,2,2
2022-06-07,1,1
2022-06-13,2,2
2022-06-20,3,3
2022-06-27,1,1
2022-07-04,3,3
2022-07-11,1,1
2022-07-18,3,3
2022-07-23,1,1
2022-07-25,3,3
2022-08-01,2,2
2022-08-02,1,1
2022-08-08,4,3
2022-08-12,6,5
2022-08-15,2,2
2022-08-22,1,1
2022-08-29,2,2
2022-09-05,1,1
2022-09-12,1,1
2022-09-19,2,2
2022-09-26,2,2
2022-10-03,2,2
2022-10-10,1,1
2022-10-17,1,1
2022-10-21,1,1
2022-10-24,2,2
2022-10-31,1,1
2022-11-07,1,1
2022-11-09,1,1
2022-11-14,1,1
2022-11-21,3,3
2022-11-28,1,1
2022-11-29,1,1
2022-12-05,3,3
2022-12-07,2,1
2022-12-10,1,1
2022-12-12,1,1
2022-12-19,2,2
2022-12-20,1,1
2022-12-26,1,1
2023-01-02,3,3
2023-01-03,2,1
2023-01-07,1,1
2023-01-08,1,1
2023-01-09,1,1
2023-01-10,1,1
2023-01-11,2,1
